Título,Autor,Genero,Codigo,Disponibilidad
Steve Jobs,Walter Isaacson,Biografía,978-01,4 / 5
Cien años de soledad,Gabriel García Márquez,Ficción,978-02,3/5
Clean Code,Robert C. Martin,Tecnología,978-03,2/2
El Principito,Antoine de Saint-Exupéry,Infantil,978-04,4/5
1984,George Orwell,Distopía,978-05,10/10
Sapiens,Yuval Noah Harari,Historia,978-06,7/8
El código Da Vinci,Dan Brown,Suspenso,978-07,4/4
Orgullo y prejuicio,Jane Austen,Romance,978-08,2/5
Breve historia del tiempo,Stephen Hawking,Ciencia,978-09,3/3
El resplandor,Stephen King,Terror,978-10,6/6
Crónica de una muerte anunciada,Gabriel García Márquez,Ficción,978-11,2/2
El arte de la guerra,Sun Tzu,Filosofía,978-12,15/15
Padre rico padre pobre,Robert Kiyosaki,Finanzas,978-13,8/10
Los miserables,Victor Hugo,Clásico,978-14,1/3
Fahrenheit 451,Ray Bradbury,Ciencia Ficción,978-15,5/5
El hobbit,J.R.R. Tolkien,Fantasía,978-16,9/10
Crimen y castigo,Fiódor Dostoyevski,Clásico,978-17,4/4
La sombra del viento,Carlos Ruiz Zafón,Misterio,978-18,3/5
Rayuela,Julio Cortázar,Ficción,978-19,2/2
Metamorfosis,Franz Kafka,Clásico,978-20,6/6
El Alquimista,Paulo Coelho,Autoayuda,978-21,12/12
Ensayo sobre la ceguera,José Saramago,Drama,978-22,3/4
Drácula,Bram Stoker,Terror,978-23,5/5
Harry Potter y la piedra filosofal,J.K. Rowling,Fantasía,978-24,20/20
Los pilares de la Tierra,Ken Follett,Histórica,978-25,2/4
El retrato de Dorian Gray,Oscar Wilde,Clásico,978-26,7/7
Anna Karenina,León Tolstói,Realismo,978-27,3/3
El psicoanalista,John Katzenbach,Thriller,978-28,5/8
Cosmos,Carl Sagan,Divulgación,978-29,10/10
Guerra y paz,León Tolstói,Histórica,978-30,2/2
La Odisea,Homero,Épico,978-31,8/8
Moby Dick,Herman Melville,Aventura,978-32,3/5
El nombre de la rosa,Umberto Eco,Misterio,978-33,4/4
El guardián entre el centeno,J.D. Salinger,Juvenil,978-34,6/6
Frankenstein,Mary Shelley,Terror,978-35,5/5
La divina comedia,Dante Alighieri,Poesía,978-36,3/3
Cumbres borrascosas,Emily Brontë,Romance,978-37,4/4
El perfume,Patrick Süskind,Suspenso,978-38,2/2
Bajo la misma estrella,John Green,Juvenil,978-39,9/10
Ángeles y demonios,Dan Brown,Thriller,978-40,5/5
It,Stephen King,Terror,978-41,3/3
El túnel,Ernesto Sabato,Psicológico,978-42,6/6
La tregua,Mario Benedetti,Romance,978-43,4/4
Pedro Páramo,Juan Rulfo,Realismo Mágico,978-44,5/5
Las crónicas de Narnia,C.S. Lewis,Fantasía,978-45,15/15
Dune,Frank Herbert,Ciencia Ficción,978-46,8/8
La metamorfosis,Franz Kafka,Clásico,978-47,10/10
Don Quijote II,Miguel de Cervantes,Clásico,978-48,2/2
La isla del tesoro,R.L. Stevenson,Aventura,978-49,5/5
El gran Gatsby,F. Scott Fitzgerald,Clásico,978-50,6/6
bvcbbt,rhgtreh,herhe,hetrh,thtre / thtre
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
Cien años de soledad,Gabriel García Márquez,Ficción,978-0-06,3 / 5
Don Quijote de la Mancha,Miguel de Cervantes,Ficción,978-84-376,2 / 3
Breve historia del tiempo,Stephen Hawking,Ciencia,978-0-553,4 / 4
El arte de la guerra,Sun Tzu,Filosofía,978-84-9,1 / 2
